strain	seq_tech	virus	Genotype	accession	date	region	country	province	city
hChikV/Senegal/IPD_418135_400/2023|EPI_ISL_19687384	Nanopore	hChikV	I-WestAfrica	EPI_ISL_19687384	2023-07-01	Africa	Senegal	unknown	unknown
hChikV/Senegal/IPD_417861_1200/2023|EPI_ISL_19687385	Nanopore	hChikV	I-WestAfrica	EPI_ISL_19687385	2023-07-01	Africa	Senegal	unknown	unknown
hChikV/Senegal/IPD_427924_400/2023|EPI_ISL_19687387	Nanopore	hChikV	I-WestAfrica	EPI_ISL_19687387	2023-07-01	Africa	Senegal	unknown	unknown
hChikV/Senegal/IPD_417854_1200/2023|EPI_ISL_19687388	Nanopore	hChikV	I-WestAfrica	EPI_ISL_19687388	2023-07-01	Africa	Senegal	unknown	unknown
hChikV/Senegal/IPD_427924_1200/2023|EPI_ISL_19687392	Nanopore	hChikV	I-WestAfrica	EPI_ISL_19687392	2023-07-01	Africa	Senegal	unknown	unknown
hChikV/Senegal/IPD_418017_1200/2023|EPI_ISL_19687393	Nanopore	hChikV	I-WestAfrica	EPI_ISL_19687393	2023-07-01	Africa	Senegal	unknown	unknown
hChikV/Senegal/IPD_427972_400/2023|EPI_ISL_19687395	Nanopore	hChikV	I-WestAfrica	EPI_ISL_19687395	2023-07-01	Africa	Senegal	unknown	unknown
hChikV/Senegal/IPD_418042_400/2023|EPI_ISL_19687396	Nanopore	hChikV	I-WestAfrica	EPI_ISL_19687396	2023-07-01	Africa	Senegal	unknown	unknown
hChikV/Brazil/MT-LACENMT-510582938/2024|EPI_ISL_19725144	Illumina MiSeq	hChikV	II-ECSA	EPI_ISL_19725144	2024-11-28	South America	Brazil	Mato Grosso	Sinop
hChikV/Brazil/MT-LACENMT-510583138/2024|EPI_ISL_19725145	Illumina MiSeq	hChikV	II-ECSA	EPI_ISL_19725145	2024-12-09	South America	Brazil	Mato Grosso	Varzea Grande
hChikV/Brazil/MT-LACENMT-510583144/2024|EPI_ISL_19725147	Illumina MiSeq	hChikV	II-ECSA	EPI_ISL_19725147	2024-12-05	South America	Brazil	Mato Grosso	Nossa Senhora do Livramento
hChikV/Brazil/MT-LACENMT-510583146/2024|EPI_ISL_19725148	Illumina MiSeq	hChikV	II-ECSA	EPI_ISL_19725148	2024-12-05	South America	Brazil	Mato Grosso	Nossa Senhora do Livramento
hChikV/Brazil/MT-LACENMT-510583148/2024|EPI_ISL_19725149	Illumina MiSeq	hChikV	II-ECSA	EPI_ISL_19725149	2024-12-06	South America	Brazil	Mato Grosso	Nossa Senhora do Livramento
hChikV/Brazil/MT-LACENMT-510583150/2024|EPI_ISL_19725150	Illumina MiSeq	hChikV	II-ECSA	EPI_ISL_19725150	2024-12-06	South America	Brazil	Mato Grosso	Nossa Senhora do Livramento
hChikV/Brazil/MT-LACENMT-510583155/2024|EPI_ISL_19725151	Illumina MiSeq	hChikV	II-ECSA	EPI_ISL_19725151	2024-12-06	South America	Brazil	Mato Grosso	Nossa Senhora do Livramento
hChikV/Brazil/MT-LACENMT-510583157/2024|EPI_ISL_19725152	Illumina MiSeq	hChikV	II-ECSA	EPI_ISL_19725152	2024-12-06	South America	Brazil	Mato Grosso	Nossa Senhora do Livramento
hChikV/Brazil/MT-LACENMT-510583164/2024|EPI_ISL_19725156	Illumina MiSeq	hChikV	II-ECSA	EPI_ISL_19725156	2024-12-09	South America	Brazil	Mato Grosso	Nossa Senhora do Livramento
hChikV/Brazil/MT-LACENMT-510583165/2024|EPI_ISL_19725157	Illumina MiSeq	hChikV	II-ECSA	EPI_ISL_19725157	2024-12-09	South America	Brazil	Mato Grosso	Nossa Senhora do Livramento
hChikV/Brazil/MT-LACENMT-510583166/2024|EPI_ISL_19725158	Illumina MiSeq	hChikV	II-ECSA	EPI_ISL_19725158	2024-12-09	South America	Brazil	Mato Grosso	Nossa Senhora do Livramento
hChikV/Brazil/MT-LACENMT-510583167/2024|EPI_ISL_19725159	Illumina MiSeq	hChikV	II-ECSA	EPI_ISL_19725159	2024-12-09	South America	Brazil	Mato Grosso	Nossa Senhora do Livramento
hChikV/Brazil/MT-LACENMT-510583168/2024|EPI_ISL_19725160	Illumina MiSeq	hChikV	II-ECSA	EPI_ISL_19725160	2024-12-09	South America	Brazil	Mato Grosso	Nossa Senhora do Livramento
hChikV/Brazil/MT-LACENMT-510583170/2024|EPI_ISL_19725161	Illumina MiSeq	hChikV	II-ECSA	EPI_ISL_19725161	2024-12-09	South America	Brazil	Mato Grosso	Nossa Senhora do Livramento
hChikV/Brazil/MT-LACENMT-510583173/2024|EPI_ISL_19725162	Illumina MiSeq	hChikV	II-ECSA	EPI_ISL_19725162	2024-12-09	South America	Brazil	Mato Grosso	Nossa Senhora do Livramento
hChikV/Brazil/MT-LACENMT-510583174/2024|EPI_ISL_19725163	Illumina MiSeq	hChikV	II-ECSA	EPI_ISL_19725163	2024-12-09	South America	Brazil	Mato Grosso	Varzea Grande
hChikV/Brazil/MT-LACENMT-510583176/2024|EPI_ISL_19725164	Illumina MiSeq	hChikV	II-ECSA	EPI_ISL_19725164	2024-12-10	South America	Brazil	Mato Grosso	Nossa Senhora do Livramento
hChikV/Brazil/MT-LACENMT-510583177/2024|EPI_ISL_19725165	Illumina MiSeq	hChikV	II-ECSA	EPI_ISL_19725165	2024-12-10	South America	Brazil	Mato Grosso	Nossa Senhora do Livramento
hChikV/Brazil/MT-LACENMT-510583179/2024|EPI_ISL_19725166	Illumina MiSeq	hChikV	II-ECSA	EPI_ISL_19725166	2024-12-31	South America	Brazil	Mato Grosso	Cuiaba
hChikV/Brazil/MT-LACENMT-510583182/2025|EPI_ISL_19725167	Illumina MiSeq	hChikV	II-ECSA	EPI_ISL_19725167	2025-01-03	South America	Brazil	Mato Grosso	Cuiaba
hChikV/Brazil/MT-LACENMT-510583183/2025|EPI_ISL_19725168	Illumina MiSeq	hChikV	II-ECSA	EPI_ISL_19725168	2025-01-03	South America	Brazil	Mato Grosso	Varzea Grande
hChikV/Brazil/MT-LACENMT-510583185/2025|EPI_ISL_19725169	Illumina MiSeq	hChikV	II-ECSA	EPI_ISL_19725169	2025-01-03	South America	Brazil	Mato Grosso	Varzea Grande
hChikV/Brazil/MT-LACENMT-510583185/2025|EPI_ISL_19725170	Illumina MiSeq	hChikV	II-ECSA	EPI_ISL_19725170	2025-01-03	South America	Brazil	Mato Grosso	Cuiaba
hChikV/Brazil/MT-LACENMT-510583190/2025|EPI_ISL_19725171	Illumina MiSeq	hChikV	II-ECSA	EPI_ISL_19725171	2025-01-03	South America	Brazil	Mato Grosso	Chapada dos Guimaraes
hChikV/Brazil/MT-LACENMT-510583193/2024|EPI_ISL_19725174	Illumina MiSeq	hChikV	II-ECSA	EPI_ISL_19725174	2024-11-27	South America	Brazil	Mato Grosso	Cuiaba
hChikV/Brazil/MT-LACENMT-510583199/2024|EPI_ISL_19725175	Illumina MiSeq	hChikV	II-ECSA	EPI_ISL_19725175	2024-12-02	South America	Brazil	Mato Grosso	Nossa Senhora do Livramento
hChikV/Brazil/MT-LACENMT-510583210/2024|EPI_ISL_19725176	Illumina MiSeq	hChikV	II-ECSA	EPI_ISL_19725176	2024-12-02	South America	Brazil	Mato Grosso	Nossa Senhora do Livramento
hChikV/Brazil/MT-LACENMT-510583212/2024|EPI_ISL_19725177	Illumina MiSeq	hChikV	II-ECSA	EPI_ISL_19725177	2024-12-02	South America	Brazil	Mato Grosso	Nossa Senhora do Livramento
hChikV/Brazil/MT-LACENMT-510583213/2024|EPI_ISL_19725178	Illumina MiSeq	hChikV	II-ECSA	EPI_ISL_19725178	2024-12-02	South America	Brazil	Mato Grosso	Nossa Senhora do Livramento
hChikV/Brazil/MT-LACENMT-510583214/2024|EPI_ISL_19725179	Illumina MiSeq	hChikV	II-ECSA	EPI_ISL_19725179	2024-12-02	South America	Brazil	Mato Grosso	Nossa Senhora do Livramento
hChikV/Brazil/MT-LACENMT-510583217/2024|EPI_ISL_19725180	Illumina MiSeq	hChikV	II-ECSA	EPI_ISL_19725180	2024-12-02	South America	Brazil	Mato Grosso	Nossa Senhora do Livramento
hChikV/Brazil/MT-LACENMT-510583219/2024|EPI_ISL_19725181	Illumina MiSeq	hChikV	II-ECSA	EPI_ISL_19725181	2024-12-02	South America	Brazil	Mato Grosso	Nossa Senhora do Livramento
hChikV/Brazil/MT-LACENMT-510583220/2024|EPI_ISL_19725182	Illumina MiSeq	hChikV	II-ECSA	EPI_ISL_19725182	2024-12-02	South America	Brazil	Mato Grosso	Nossa Senhora do Livramento
hChikV/Brazil/MT-LACENMT-510583221/2024|EPI_ISL_19725183	Illumina MiSeq	hChikV	II-ECSA	EPI_ISL_19725183	2024-12-02	South America	Brazil	Mato Grosso	Nossa Senhora do Livramento
hChikV/Brazil/RJ-LACENRJ-331800365/2025|EPI_ISL_19741773	Illumina MiSeq	hChikV	II-ECSA	EPI_ISL_19741773	2025-07-01	South America	Brazil	Rio de Janeiro	Rio de Janeiro
hChikV/Brazil/MG-LACENMG-312275204/2025|EPI_ISL_19750495	Illumina MiSeq	hChikV	II-ECSA	EPI_ISL_19750495	2025-01-02	South America	Brazil	Minas Gerais	Uberlandia
hChikV/China/un-KUST-23TWJ/2020|EPI_ISL_19771565	Sanger	hChikV	II-ECSA	EPI_ISL_19771565	2020-07-01	Asia	China	unknown	unknown
hChikV/China/un-KUST-14JXB/2019|EPI_ISL_19771567	Sanger	hChikV	II-ECSA	EPI_ISL_19771567	2019-07-01	Asia	China	unknown	unknown
hChikV/China/un-KUST-B112/2019|EPI_ISL_19771569	Sanger	hChikV	II-ECSA	EPI_ISL_19771569	2019-07-01	Asia	China	unknown	unknown
hChikV/China/un-KUST-B98/2019|EPI_ISL_19771571	Sanger	hChikV	II-ECSA	EPI_ISL_19771571	2019-07-01	Asia	China	unknown	unknown
hChikV/China/un-KUST-19WCJ/2019|EPI_ISL_19771573	Sanger	hChikV	II-ECSA	EPI_ISL_19771573	2019-07-01	Asia	China	unknown	unknown
hChikV/China/un-KUST-20NXC/2019|EPI_ISL_19771575	Sanger	hChikV	II-ECSA	EPI_ISL_19771575	2019-07-01	Asia	China	unknown	unknown
hChikV/China/un-KUST-15XWH/2019|EPI_ISL_19771577	Sanger	hChikV	II-ECSA	EPI_ISL_19771577	2019-07-01	Asia	China	unknown	unknown
hChikV/China/un-KUST-24ZFS/2020|EPI_ISL_19771579	Sanger	hChikV	II-ECSA	EPI_ISL_19771579	2020-07-01	Asia	China	unknown	unknown
hChikV/China/un-KUST-25WBX/2020|EPI_ISL_19771581	Sanger	hChikV	II-ECSA	EPI_ISL_19771581	2020-07-01	Asia	China	unknown	unknown
hChikV/China/un-KUST-11GLH/2019|EPI_ISL_19771583	Sanger	hChikV	II-ECSA	EPI_ISL_19771583	2019-07-01	Asia	China	unknown	unknown
hChikV/China/un-KUST-B99/2019|EPI_ISL_19771586	Sanger	hChikV	II-ECSA	EPI_ISL_19771586	2019-07-01	Asia	China	unknown	unknown
hChikV/China/un-KUST-B118/2019|EPI_ISL_19771588	Sanger	hChikV	II-ECSA	EPI_ISL_19771588	2019-07-01	Asia	China	unknown	unknown
hChikV/China/un-KUST-12LSK/2019|EPI_ISL_19771590	Sanger	hChikV	II-ECSA	EPI_ISL_19771590	2019-07-01	Asia	China	unknown	unknown
hChikV/China/un-KUST-18BAH/2019|EPI_ISL_19771593	Sanger	hChikV	II-ECSA	EPI_ISL_19771593	2019-07-01	Asia	China	unknown	unknown
hChikV/China/un-KUST-22ZH/2019|EPI_ISL_19771595	Sanger	hChikV	II-ECSA	EPI_ISL_19771595	2019-07-01	Asia	China	unknown	unknown
hChikV/China/un-KUST-13OY/2019|EPI_ISL_19771597	Sanger	hChikV	II-ECSA	EPI_ISL_19771597	2019-07-01	Asia	China	unknown	unknown
hChikV/China/un-KUST-21ZJJ/2019|EPI_ISL_19771599	Sanger	hChikV	II-ECSA	EPI_ISL_19771599	2019-07-01	Asia	China	unknown	unknown
hChikV/China/un-KUST-16WLP/2019|EPI_ISL_19771601	Sanger	hChikV	II-ECSA	EPI_ISL_19771601	2019-07-01	Asia	China	unknown	unknown
hChikV/Brazil/MS-FIOCRUZ-FMS612/2025|EPI_ISL_19780882	Illumina MiSeq	hChikV	II-ECSA	EPI_ISL_19780882	2025-01-05	South America	Brazil	Mato Grosso do Sul	Campo Grande
hChikV/Brazil/MS-FIOCRUZ-FMS613/2025|EPI_ISL_19780883	Illumina MiSeq	hChikV	II-ECSA	EPI_ISL_19780883	2025-01-05	South America	Brazil	Mato Grosso do Sul	Maracaju
hChikV/Brazil/MS-FIOCRUZ-FMS614/2025|EPI_ISL_19780884	Illumina MiSeq	hChikV	II-ECSA	EPI_ISL_19780884	2025-01-08	South America	Brazil	Mato Grosso do Sul	Dois Irmaos do Buriti
hChikV/Brazil/MS-FIOCRUZ-FMS615/2025|EPI_ISL_19780885	Illumina MiSeq	hChikV	II-ECSA	EPI_ISL_19780885	2025-01-13	South America	Brazil	Mato Grosso do Sul	Anastacio
hChikV/Brazil/MS-FIOCRUZ-FMS616/2025|EPI_ISL_19780886	Illumina MiSeq	hChikV	II-ECSA	EPI_ISL_19780886	2025-01-13	South America	Brazil	Mato Grosso do Sul	Pedro Gomes
hChikV/Brazil/MS-FIOCRUZ-FMS617/2025|EPI_ISL_19780887	Illumina MiSeq	hChikV	II-ECSA	EPI_ISL_19780887	2025-01-16	South America	Brazil	Mato Grosso do Sul	Dois Irmaos do Buriti
hChikV/Brazil/MS-FIOCRUZ-FMS618/2025|EPI_ISL_19780888	Illumina MiSeq	hChikV	II-ECSA	EPI_ISL_19780888	2025-01-14	South America	Brazil	Mato Grosso do Sul	Sonora
hChikV/Brazil/MS-FIOCRUZ-FMS619/2025|EPI_ISL_19780889	Illumina MiSeq	hChikV	II-ECSA	EPI_ISL_19780889	2025-01-21	South America	Brazil	Mato Grosso do Sul	Campo Grande
hChikV/Brazil/MS-FIOCRUZ-FMS620/2025|EPI_ISL_19780890	Illumina MiSeq	hChikV	II-ECSA	EPI_ISL_19780890	2025-01-22	South America	Brazil	Mato Grosso do Sul	Campo Grande
hChikV/Brazil/MS-FIOCRUZ-FMS621/2025|EPI_ISL_19780891	Illumina MiSeq	hChikV	II-ECSA	EPI_ISL_19780891	2025-01-27	South America	Brazil	Mato Grosso do Sul	Dois Irmaos do Buriti
hChikV/Brazil/MS-FIOCRUZ-FMS622/2025|EPI_ISL_19780892	Illumina MiSeq	hChikV	II-ECSA	EPI_ISL_19780892	2025-01-24	South America	Brazil	Mato Grosso do Sul	Chapadao do Sul
hChikV/Brazil/MS-FIOCRUZ-FMS623/2025|EPI_ISL_19780893	Illumina MiSeq	hChikV	II-ECSA	EPI_ISL_19780893	2025-02-03	South America	Brazil	Mato Grosso do Sul	Gloria de Dourados
hChikV/Brazil/MS-FIOCRUZ-FMS624/2025|EPI_ISL_19780894	Illumina MiSeq	hChikV	II-ECSA	EPI_ISL_19780894	2025-02-03	South America	Brazil	Mato Grosso do Sul	Gloria de Dourados
hChikV/Brazil/MS-FIOCRUZ-FMS625/2025|EPI_ISL_19780895	Illumina MiSeq	hChikV	II-ECSA	EPI_ISL_19780895	2025-01-27	South America	Brazil	Mato Grosso do Sul	Bonito
hChikV/Brazil/MS-FIOCRUZ-FMS626/2025|EPI_ISL_19780896	Illumina MiSeq	hChikV	II-ECSA	EPI_ISL_19780896	2025-02-03	South America	Brazil	Mato Grosso do Sul	Sonora
hChikV/Brazil/MS-FIOCRUZ-FMS627/2025|EPI_ISL_19780897	Illumina MiSeq	hChikV	II-ECSA	EPI_ISL_19780897	2025-02-03	South America	Brazil	Mato Grosso do Sul	Agua Clara
hChikV/Brazil/MS-FIOCRUZ-FMS628/2025|EPI_ISL_19780898	Illumina MiSeq	hChikV	II-ECSA	EPI_ISL_19780898	2025-01-31	South America	Brazil	Mato Grosso do Sul	Sonora
hChikV/Brazil/MS-FIOCRUZ-FMS629/2025|EPI_ISL_19780899	Illumina MiSeq	hChikV	II-ECSA	EPI_ISL_19780899	2025-02-01	South America	Brazil	Mato Grosso do Sul	Agua Clara
hChikV/Brazil/MS-FIOCRUZ-FMS630/2025|EPI_ISL_19780900	Illumina MiSeq	hChikV	II-ECSA	EPI_ISL_19780900	2025-02-04	South America	Brazil	Mato Grosso do Sul	Sonora
hChikV/Brazil/MS-FIOCRUZ-FMS631/2025|EPI_ISL_19780901	Illumina MiSeq	hChikV	II-ECSA	EPI_ISL_19780901	2025-01-31	South America	Brazil	Mato Grosso do Sul	Dois Irmaos do Buriti
hChikV/Brazil/MS-FIOCRUZ-FMS632/2025|EPI_ISL_19780902	Illumina MiSeq	hChikV	II-ECSA	EPI_ISL_19780902	2025-02-03	South America	Brazil	Mato Grosso do Sul	Dois Irmaos do Buriti
hChikV/Brazil/MS-FIOCRUZ-FMS633/2025|EPI_ISL_19780903	Illumina MiSeq	hChikV	II-ECSA	EPI_ISL_19780903	2025-02-04	South America	Brazil	Mato Grosso do Sul	Fatima do Sul
hChikV/Brazil/MS-FIOCRUZ-FMS634/2025|EPI_ISL_19780904	Illumina MiSeq	hChikV	II-ECSA	EPI_ISL_19780904	2025-01-31	South America	Brazil	Mato Grosso do Sul	Bonito
hChikV/Brazil/MS-FIOCRUZ-FMS635/2025|EPI_ISL_19780905	Illumina MiSeq	hChikV	II-ECSA	EPI_ISL_19780905	2025-02-06	South America	Brazil	Mato Grosso do Sul	Chapadao do Sul
hChikV/Brazil/MS-FIOCRUZ-FMS636/2025|EPI_ISL_19780906	Illumina MiSeq	hChikV	II-ECSA	EPI_ISL_19780906	2025-02-11	South America	Brazil	Mato Grosso do Sul	Dois Irmaos do Buriti
hChikV/Brazil/MS-FIOCRUZ-FMS637/2025|EPI_ISL_19780907	Illumina MiSeq	hChikV	II-ECSA	EPI_ISL_19780907	2025-02-08	South America	Brazil	Mato Grosso do Sul	Ivinhema
hChikV/Brazil/MS-FIOCRUZ-FMS638/2025|EPI_ISL_19780908	Illumina MiSeq	hChikV	II-ECSA	EPI_ISL_19780908	2025-02-11	South America	Brazil	Mato Grosso do Sul	Dois Irmaos do Buriti
hChikV/Brazil/MS-FIOCRUZ-FMS639/2025|EPI_ISL_19780909	Illumina MiSeq	hChikV	II-ECSA	EPI_ISL_19780909	2025-02-11	South America	Brazil	Mato Grosso do Sul	Sonora
hChikV/Brazil/MS-FIOCRUZ-FMS640/2025|EPI_ISL_19780910	Illumina MiSeq	hChikV	II-ECSA	EPI_ISL_19780910	2025-02-10	South America	Brazil	Mato Grosso do Sul	Pedro Gomes
hChikV/Brazil/MS-FIOCRUZ-FMS641/2025|EPI_ISL_19780911	Illumina MiSeq	hChikV	II-ECSA	EPI_ISL_19780911	2025-02-07	South America	Brazil	Mato Grosso do Sul	Pedro Gomes
hChikV/Brazil/MS-FIOCRUZ-FMS642/2025|EPI_ISL_19780912	Illumina MiSeq	hChikV	II-ECSA	EPI_ISL_19780912	2025-02-10	South America	Brazil	Mato Grosso do Sul	Gloria de Dourados
hChikV/Brazil/MS-FIOCRUZ-FMS643/2025|EPI_ISL_19780913	Illumina MiSeq	hChikV	II-ECSA	EPI_ISL_19780913	2025-02-10	South America	Brazil	Mato Grosso do Sul	Gloria de Dourados
hChikV/Brazil/MS-FIOCRUZ-FMS644/2025|EPI_ISL_19780914	Illumina MiSeq	hChikV	II-ECSA	EPI_ISL_19780914	2025-02-07	South America	Brazil	Mato Grosso do Sul	Bonito
hChikV/Brazil/MS-FIOCRUZ-FMS645/2025|EPI_ISL_19780915	Illumina MiSeq	hChikV	II-ECSA	EPI_ISL_19780915	2025-02-13	South America	Brazil	Mato Grosso do Sul	Ribas do Rio Pardo
hChikV/Brazil/MS-FIOCRUZ-FMS646/2025|EPI_ISL_19780916	Illumina MiSeq	hChikV	II-ECSA	EPI_ISL_19780916	2025-02-07	South America	Brazil	Mato Grosso do Sul	Gloria de Dourados
hChikV/Brazil/MS-FIOCRUZ-FMS647/2025|EPI_ISL_19780917	Illumina MiSeq	hChikV	II-ECSA	EPI_ISL_19780917	2025-02-07	South America	Brazil	Mato Grosso do Sul	Gloria de Dourados
hChikV/Brazil/MS-FIOCRUZ-FMS648/2025|EPI_ISL_19780918	Illumina MiSeq	hChikV	II-ECSA	EPI_ISL_19780918	2025-02-10	South America	Brazil	Mato Grosso do Sul	Sonora
hChikV/Brazil/MS-FIOCRUZ-FMS649/2025|EPI_ISL_19780919	Illumina MiSeq	hChikV	II-ECSA	EPI_ISL_19780919	2025-02-14	South America	Brazil	Mato Grosso do Sul	Fatima do Sul
hChikV/Brazil/MS-FIOCRUZ-FMS650/2025|EPI_ISL_19780920	Illumina MiSeq	hChikV	II-ECSA	EPI_ISL_19780920	2025-02-14	South America	Brazil	Mato Grosso do Sul	Gloria de Dourados
hChikV/Brazil/MS-FIOCRUZ-FMS651/2025|EPI_ISL_19780921	Illumina MiSeq	hChikV	II-ECSA	EPI_ISL_19780921	2025-02-17	South America	Brazil	Mato Grosso do Sul	Gloria de Dourados
hChikV/Brazil/MS-FIOCRUZ-FMS652/2025|EPI_ISL_19780922	Illumina MiSeq	hChikV	II-ECSA	EPI_ISL_19780922	2025-02-07	South America	Brazil	Mato Grosso do Sul	Dois Irmaos do Buriti
hChikV/Brazil/MS-FIOCRUZ-FMS653/2025|EPI_ISL_19780923	Illumina MiSeq	hChikV	II-ECSA	EPI_ISL_19780923	2025-02-10	South America	Brazil	Mato Grosso do Sul	Chapadao do Sul
hChikV/Brazil/MS-FIOCRUZ-FMS654/2025|EPI_ISL_19780924	Illumina MiSeq	hChikV	II-ECSA	EPI_ISL_19780924	2025-02-17	South America	Brazil	Mato Grosso do Sul	Gloria de Dourados
hChikV/Brazil/MS-FIOCRUZ-FMS655/2025|EPI_ISL_19780925	Illumina MiSeq	hChikV	II-ECSA	EPI_ISL_19780925	2025-02-14	South America	Brazil	Mato Grosso do Sul	Caarapo
hChikV/Brazil/MS-FIOCRUZ-FMS656/2025|EPI_ISL_19780926	Illumina MiSeq	hChikV	II-ECSA	EPI_ISL_19780926	2025-02-16	South America	Brazil	Mato Grosso do Sul	Chapadao do Sul
hChikV/Brazil/MS-FIOCRUZ-FMS657/2025|EPI_ISL_19780927	Illumina MiSeq	hChikV	II-ECSA	EPI_ISL_19780927	2025-02-16	South America	Brazil	Mato Grosso do Sul	Chapadao do Sul
hChikV/Brazil/MS-FIOCRUZ-FMS658/2025|EPI_ISL_19780928	Illumina MiSeq	hChikV	II-ECSA	EPI_ISL_19780928	2025-02-17	South America	Brazil	Mato Grosso do Sul	Itapora
hChikV/Brazil/MS-FIOCRUZ-FMS659/2025|EPI_ISL_19780929	Illumina MiSeq	hChikV	II-ECSA	EPI_ISL_19780929	2025-02-17	South America	Brazil	Mato Grosso do Sul	Maracaju
hChikV/Brazil/MS-FIOCRUZ-FMS660/2025|EPI_ISL_19780930	Illumina MiSeq	hChikV	II-ECSA	EPI_ISL_19780930	2025-02-14	South America	Brazil	Mato Grosso do Sul	Sonora
hChikV/Brazil/MS-FIOCRUZ-FMS661/2025|EPI_ISL_19780931	Illumina MiSeq	hChikV	II-ECSA	EPI_ISL_19780931	2025-02-18	South America	Brazil	Mato Grosso do Sul	Sonora
hChikV/Brazil/MS-FIOCRUZ-FMS662/2025|EPI_ISL_19780932	Illumina MiSeq	hChikV	II-ECSA	EPI_ISL_19780932	2025-02-18	South America	Brazil	Mato Grosso do Sul	Sonora
hChikV/Brazil/MS-FIOCRUZ-FMS663/2025|EPI_ISL_19780933	Illumina MiSeq	hChikV	II-ECSA	EPI_ISL_19780933	2025-02-13	South America	Brazil	Mato Grosso do Sul	Bonito
hChikV/Brazil/MS-FIOCRUZ-FMS664/2025|EPI_ISL_19780934	Illumina MiSeq	hChikV	II-ECSA	EPI_ISL_19780934	2025-02-13	South America	Brazil	Mato Grosso do Sul	Bonito
hChikV/Brazil/MS-FIOCRUZ-FMS665/2025|EPI_ISL_19780935	Illumina MiSeq	hChikV	II-ECSA	EPI_ISL_19780935	2025-02-20	South America	Brazil	Mato Grosso do Sul	Gloria de Dourados
hChikV/Brazil/MS-FIOCRUZ-FMS666/2025|EPI_ISL_19780936	Illumina MiSeq	hChikV	II-ECSA	EPI_ISL_19780936	2025-02-20	South America	Brazil	Mato Grosso do Sul	Gloria de Dourados
hChikV/Brazil/MS-FIOCRUZ-FMS667/2025|EPI_ISL_19780937	Illumina MiSeq	hChikV	II-ECSA	EPI_ISL_19780937	2025-02-19	South America	Brazil	Mato Grosso do Sul	Maracaju
hChikV/Brazil/MS-FIOCRUZ-FMS668/2025|EPI_ISL_19780938	Illumina MiSeq	hChikV	II-ECSA	EPI_ISL_19780938	2025-02-19	South America	Brazil	Mato Grosso do Sul	Maracaju
hChikV/Brazil/MS-FIOCRUZ-FMS669/2025|EPI_ISL_19780939	Illumina MiSeq	hChikV	II-ECSA	EPI_ISL_19780939	2025-02-19	South America	Brazil	Mato Grosso do Sul	Maracaju
hChikV/Brazil/MS-FIOCRUZ-FMS670/2025|EPI_ISL_19780940	Illumina MiSeq	hChikV	II-ECSA	EPI_ISL_19780940	2025-02-21	South America	Brazil	Mato Grosso do Sul	Maracaju
hChikV/Brazil/MS-FIOCRUZ-FMS671/2025|EPI_ISL_19780941	Illumina MiSeq	hChikV	II-ECSA	EPI_ISL_19780941	2025-02-19	South America	Brazil	Mato Grosso do Sul	Rio Verde de Mato Grosso
hChikV/Brazil/MS-FIOCRUZ-FMS672/2025|EPI_ISL_19780942	Illumina MiSeq	hChikV	II-ECSA	EPI_ISL_19780942	2025-02-19	South America	Brazil	Mato Grosso do Sul	Sonora
hChikV/Brazil/MS-FIOCRUZ-FMS673/2025|EPI_ISL_19780943	Illumina MiSeq	hChikV	II-ECSA	EPI_ISL_19780943	2025-02-20	South America	Brazil	Mato Grosso do Sul	Terenos
hChikV/Brazil/MS-FIOCRUZ-FMS674/2025|EPI_ISL_19780944	Illumina MiSeq	hChikV	II-ECSA	EPI_ISL_19780944	2025-02-15	South America	Brazil	Mato Grosso do Sul	Bonito
hChikV/Brazil/MS-FIOCRUZ-FMS675/2025|EPI_ISL_19780945	Illumina MiSeq	hChikV	II-ECSA	EPI_ISL_19780945	2025-02-16	South America	Brazil	Mato Grosso do Sul	Bonito
hChikV/Brazil/MS-FIOCRUZ-FMS676/2025|EPI_ISL_19780946	Illumina MiSeq	hChikV	II-ECSA	EPI_ISL_19780946	2025-02-16	South America	Brazil	Mato Grosso do Sul	Bonito
hChikV/Brazil/MS-FIOCRUZ-FMS677/2025|EPI_ISL_19780947	Illumina MiSeq	hChikV	II-ECSA	EPI_ISL_19780947	2025-02-18	South America	Brazil	Mato Grosso do Sul	Dois Irmaos do Buriti
hChikV/Brazil/MS-FIOCRUZ-FMS678/2025|EPI_ISL_19780948	Illumina MiSeq	hChikV	II-ECSA	EPI_ISL_19780948	2025-02-20	South America	Brazil	Mato Grosso do Sul	Gloria de Dourados
hChikV/Brazil/MS-FIOCRUZ-FMS679/2025|EPI_ISL_19780949	Illumina MiSeq	hChikV	II-ECSA	EPI_ISL_19780949	2025-02-21	South America	Brazil	Mato Grosso do Sul	Dourados
hChikV/Brazil/MS-FIOCRUZ-FMS680/2025|EPI_ISL_19780950	Illumina MiSeq	hChikV	II-ECSA	EPI_ISL_19780950	2025-02-21	South America	Brazil	Mato Grosso do Sul	Coxim
hChikV/Brazil/MS-FIOCRUZ-FMS681/2025|EPI_ISL_19780951	Illumina MiSeq	hChikV	II-ECSA	EPI_ISL_19780951	2025-02-22	South America	Brazil	Mato Grosso do Sul	Coxim
hChikV/Brazil/MS-FIOCRUZ-FMS682/2025|EPI_ISL_19780952	Illumina MiSeq	hChikV	II-ECSA	EPI_ISL_19780952	2025-02-08	South America	Brazil	Mato Grosso do Sul	Coxim
