strain	seq_tech	virus	Genotype	accession	date	region	country	province	city
hChikV/Central African Republic/UTMB-3ea4ab94/1978|EPI_ISL_17455990	unknown	hChikV	II-ECSA	EPI_ISL_17455990	1978-10-15	Africa	Central African Republic	unknown	unknown
hChikV/Philippines/UTMB-b78130a1/1985|EPI_ISL_17455993	unknown	hChikV	III-Asian	EPI_ISL_17455993	1985-07-17	Asia	Philippines	unknown	unknown
hChikV/Uganda/UTMB-4c152453/1982|EPI_ISL_17455994	unknown	hChikV	II-ECSA	EPI_ISL_17455994	1982-07-01	Africa	Uganda	unknown	unknown
hChikV/Angola/UTMB-c9c20559/1962|EPI_ISL_17455997	unknown	hChikV	II-ECSA	EPI_ISL_17455997	1962-07-01	Africa	Angola	unknown	unknown
hChikV/Indonesia/un-UTMB-9443b80d/1985|EPI_ISL_17455998	unknown	hChikV	III-Asian	EPI_ISL_17455998	1985-07-01	Asia	Indonesia	unknown	unknown
hChikV/Sri Lanka/UTMB-8043d771/2007|EPI_ISL_17455999	unknown	hChikV	II-ECSA	EPI_ISL_17455999	2007-07-01	Asia	Sri Lanka	unknown	unknown
hChikV/India/un-UTMB-f33be1a8/1963|EPI_ISL_17456000	unknown	hChikV	III-Asian	EPI_ISL_17456000	1963-11-06	Asia	India	unknown	unknown
hChikV/Philippines/UTMB-4bf58861/1985|EPI_ISL_17456001	unknown	hChikV	III-Asian	EPI_ISL_17456001	1985-07-01	Asia	Philippines	unknown	unknown
hChikV/Senegal/UTMB-60686628/1966|EPI_ISL_17456004	unknown	hChikV	I-WestAfrica	EPI_ISL_17456004	1966-11-23	Africa	Senegal	unknown	unknown
hChikV/Indonesia/un-UTMB-bd86da63/1983|EPI_ISL_17456006	unknown	hChikV	III-Asian	EPI_ISL_17456006	1983-07-01	Asia	Indonesia	unknown	unknown
hChikV/USA/CA-UTMB-00012_2f5b13ca/2006|EPI_ISL_17456007	ABI Prism model 3100 Applied Biosystems	hChikV	II-ECSA	EPI_ISL_17456007	2006-07-01	North America	USA	California	unknown
hChikV/Senegal/UTMB-7104629c/1966|EPI_ISL_17456008	unknown	hChikV	I-WestAfrica	EPI_ISL_17456008	1966-11-15	Africa	Senegal	unknown	unknown
hChikV/Thailand/UTMB-30b6fc5f/1995|EPI_ISL_17456010	unknown	hChikV	III-Asian	EPI_ISL_17456010	1995-07-01	Asia	Thailand	unknown	unknown
hChikV/Senegal/UTMB-9a5b2c01/2005|EPI_ISL_17456011	unknown	hChikV	I-WestAfrica	EPI_ISL_17456011	2005-11-15	Africa	Senegal	unknown	unknown
